"CHPH-00787" "CHPH-00830" "CHPH-00888" "CHPH-00892" "CHPH-00940" "CHPH-00959" "CHPH-00963" "CHPH-00989" "CHPH-01189" "CHPH-01206" "CHPH-01275" "CHPH-01281" "CHPH-01283" "CHPH-01287"
"arabinose" 0.185457157401926 0.0235816576649397 -1.68402965454308 0.161966616364075 -1.68402965454308 1.37410283843581 -0.307064997468862 -0.0631847688023671 -0.092427421201449 0.347856704851325 0.502112893974412 -0.0389112802321038 -1.68402965454308 -1.42021640338319
"choline phosphate" 0.57923466734815 -0.194227368064331 2.09920880598682 -0.283245642567303 1.27243342286506 1.33694379239423 0.127558302004633 0.449401252996221 1.40841636161705 1.06610965624379 0.974935188121353 0.0755834551938129 1.40937003447126 1.41769584091415
"fucosterol" -0.306800854846283 0.0511525224473813 -0.440213031799443 -0.185153331395537 -0.651111276928562 -0.192871044407578 -0.286761538454338 -0.121478204498793 -0.667965722972482 -0.229958445680331 0.266349311986998 -0.409492537991417 -1.40230481407449 -0.385946894012781
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)" 0.096805769822717 0.0959012792258772 1.10804721472978 0.54778700817339 1.25197627894103 -0.383629527708731 0.303001553655842 -0.332266947466733 1.06562078965014 0.124536828301277 -0.297483302561849 0.680888229680237 2.02466706474552 0.660656814814333
"uridine 5'-monophosphate (UMP)" -0.796967112985289 -0.898596649444669 0.14622108881188 -0.898596649444669 0.352201819659416 0.213677101882298 -0.898596649444669 -0.898596649444669 0.905434267374031 0.13560963602868 -0.898596649444669 -0.898596649444669 1.15971754618022 0.666180897157584
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)" -0.854492828590337 -0.303731003254467 1.11042134647396 -0.977571628814513 1.39990032600623 0.256356886395526 0.0101302772151479 0.405892513805059 1.27680175354018 -0.311046537362582 -0.269863996003322 1.36247304985546 1.80369263604568 1.13299250334204
"sphingomyelin (d18:1/24:1, d18:2/24:0)*" 0.173739713951887 0.750616376501549 1.43718751718801 0.0372272345822744 1.20452151936957 0.742842916727444 0.622151828372509 0.823650258821527 1.6763771451075 0.0339462029903606 0.712599199332614 1.72295541173654 1.93926459154886 1.29913669374401
"sphingomyelin (d18:2/24:1, d18:1/24:2)*" -0.222283261390374 0.155305666159626 1.01015997590047 -0.263284866394389 0.91523093939296 0.564488523410793 0.532830787721881 0.619322944883176 0.988594626418441 -0.136320332124102 0.505068540469512 1.1146476742284 1.38510377415716 0.899437454286178
"1-myristoyl-2-palmitoyl-GPC (14:0/16:0)" -0.876801924968001 -0.209011524911184 0.616538526654169 -0.876801924968001 0.829503180806609 -0.131825959140362 -0.876801924968001 -0.0744816418225699 1.25957715655426 -0.876801924968001 -0.876801924968001 1.08270281062595 1.3609454015477 0.648379529395438
"N6-carboxymethyllysine" 0.479618492762754 0.210853365314893 -0.433680378475189 0.335096674261542 0.0849692884749874 0.285377253249845 0.434616801519522 0.447638591400498 -0.00952794647438061 0.350654978678079 0.538699379542407 -0.204676235670686 -1.02826040911222 -0.00784428895738327
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*" -0.981299501333757 -0.0537442928006027 0.81636726027562 -0.981299501333757 1.08291097452223 -0.981299501333757 -0.192059278784501 -0.981299501333757 1.24489533369186 -0.981299501333757 -0.981299501333757 0.917100959943302 1.8164752918334 0.645019230042717
"sphingomyelin (d18:2/16:0, d18:1/16:1)*" -0.144238627660052 -0.0301649069242026 1.08137611576951 -0.0694075115574017 0.782307761639508 0.519526113258743 0.619197715792947 0.634980800051228 0.854512510370272 -0.284498054706716 0.286231854028553 1.06847900436359 1.47883333877884 0.915289004739737
"4-cholesten-3-one" 0.542539121344277 -0.32550628270365 -0.919012953089113 -0.426084559578449 -0.819300798703965 -0.514988785421427 -0.469800301796918 -0.534914712442567 -0.557206774060231 0.223366126439861 -0.354872600741609 -0.783834097714007 -0.99439055463972 -0.82361930775673
"palmitoyl sphingomyelin (d18:1/16:0)" 0.68790334534816 0.680833895327369 1.72564623974373 0.754501229386917 1.41833112732033 1.17438257246894 1.22705844298242 1.34138901525491 1.69103637976256 0.581756292310845 1.28561356112648 1.62688725447677 1.92537191892244 1.69773572432343
"azelate (C9-DC)" 0.00423536635946749 -0.0232832956366177 -0.803823814960027 -0.160899217292847 -0.772370350428991 -0.445147565627945 -0.422853015172475 -0.518414063632378 -0.473531487530523 -0.265760395564545 -0.294221787171402 -0.398809467384666 -1.09097914578884 -0.62616885492617
"lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*" -0.269863996003322 0.624158288789103 1.16621691085328 0.249442961442582 1.09137146651461 0.82463340780055 0.55985876625796 0.949497347070821 1.5115371237035 0.546110621749425 1.01236472522224 1.50480783667945 1.73016025654819 1.29935473495851
"1-oleoyl-GPG (18:1)*" -1.16749108729376 -0.0389112802321038 0.54267607366537 -1.16749108729376 0.464906651310901 0.342304220718211 -0.0626827522375058 0.371898694778741 1.20070552674665 -0.0749458796881573 0.146902869928199 0.563540411189449 1.08357786235581 0.619687990279051
"sphingosine" -0.153415497101954 -0.00375108543086791 -0.477425367308823 0.179982425292592 -0.316142794599654 0.474085081502818 0.233503760341134 0.583935202536751 -0.153353671422882 0.423475251945937 0.699473493967466 0.152165990675555 -0.11605480496572 -0.194907121657327
"ximenoylcarnitine (C26:1)*" -0.0672726326984707 -0.368251925603431 0.781209471689111 -0.11227020271197 0.287084776433676 0.258565453000082 -0.368251925603431 0.188337779040752 0.228117924136845 -0.368251925603431 -0.204885014369637 0.0862530238171611 0.384389260324799 0.929689636707761
"N-stearoyltaurine" 0.186560828852073 -0.23232477597204 0.972785827554107 -0.368657713516067 0.574181797057869 0.177103432436536 1.06305925780289 0.55735077960453 0.721126082811116 -0.423083044034793 0.0623939372531952 -0.0150228735845067 1.29249088141398 1.0860927642636
