"s151" "s14.IBD_Natural_History.Feces.Visit1" "s25.IBD_Therapy.Feces.Baseline" "s.277.IBDTherapy.Feces.Baseline" "s47" "s.173.VEO.Feces.Baseline" "s.288.IBD.Therapy.Feces.Baseline" "s20.C_diff.Feces.Visit1" "s40.IBD_Therapy.Feces.Baseline" "s.304.VEO.Stool.visit1.2442" "s31.IBD_Natural_History.Feces.Visit1" "s30.IBD_Natural_History.Feces.Visit1" "s38.IBD_Antibiotics.Feces.Baseline" "s.308.IBDC.Diff.Stool.visit2.2500" "s.316.IBDC.Diff.Stool.visit2.2544" "s55.IBD_Therapy.Feces.Baseline" "s065.IBD_Antibiotics.Feces.Baseline" "s.339.IBDC.Diff.Stool.1.2648" "s097.IBD_Antibiotics.Feces.Baseline" "s099.IBD_C.Diff.Feces.Baseline" "s53.VEO.Feces.Week_8" "s102.IBD_Therapy.Feces.Baseline" "s119.IBD_C.Diff.Feces.Baseline" "s.351.IBDAntibiotics.Stool.1.2748" "s.349.IBDAntibiotics.Stool.1.2663" "s.347.IBDTherapy.Stool.1.2668" "s.346.IBDAntibiotics.Stool.1.2659" "s.355.IBDAntibiotics.Stool.1.2765" "s.358.IBDTherapy.Stool.1.2766" "s.212.IBD.Feces.Baseline" "s.225.IBD_Therapy.Feces.Baseline" "s.261.IBD_Therapy.Feces.Baseline" "s.265.IBD_C.Diff.Feces.Baseline" "s143.VEO.Feces.Baseline" "s.175.VEO.Feces.Baseline" "s.154.VEO.Feces.Baseline" "s077.IBD_C.Diff.Feces.Baseline" "s.357.IBDC.Diff.Stool.1.2836" "s.222.IBD_CDiff.Feces.Baseline" "s157.IBD_CDiff.Feces.Baseline" "s078.IBD_Therapy.Feces.Baseline"
"p__Firmicutes g__Lactobacillus s__agilis" 0 0.000247995995771971 5.22392596082246e-06 3.84511122945509e-07 1.07913886138781e-05 3.68785684624808e-07 8.58327419048689e-06 3.45667558373745e-07 0 5.33199677947394e-06 8.77745654237379e-06 3.37117477012802e-06 2.39793346094336e-06 2.53037397662188e-06 2.88888176298054e-07 1.27223873305378e-05 9.39355993867231e-06 0 0.000163324902317429 1.29117492269736e-06 4.87105279455778e-06 9.88326545726245e-07 1.4710363966277e-06 3.6416678911775e-06 1.21035824586814e-05 1.94672116188106e-06 4.84581583186182e-07 1.93957873581337e-05 8.15178995192256e-06 5.47955213793859e-06 3.21005703736346e-06 3.61810645192803e-06 8.5878835697685e-06 2.11024444544095e-05 4.28277996960939e-07 2.65958738467509e-06 2.49552287599029e-06 4.53162074322205e-06 8.76583218866175e-07 7.32253917833056e-07 0
"p__Proteobacteria g__Kosakonia s__cowanii" 7.60178876605484e-07 2.49508166477897e-05 4.27412124067292e-06 2.69157786061856e-06 5.46669028466192e-06 2.02832126543645e-06 2.01093852462836e-05 1.03700267512123e-06 3.17692967516163e-05 1.04665121967452e-05 4.73982653288184e-06 6.18048707856804e-06 4.19638355665088e-06 0.000640184616085334 1.51666292556478e-05 5.72507429874201e-06 3.06311737130619e-06 6.01902010352715e-05 2.23121451253318e-06 6.19763962894731e-06 1.15977447489471e-06 2.96497963717874e-06 2.18203732166442e-05 1.82083394558875e-06 1.61381099449085e-05 1.33837079879323e-05 0 1.29305249054224e-05 9.05754439102506e-07 5.47955213793859e-06 3.56673004151495e-06 2.57287569914882e-05 1.07348544622106e-06 8.79268518933729e-06 2.71242731408595e-06 8.21003062225788e-06 6.23880718997573e-07 4.53162074322205e-06 4.38291609433087e-07 0 2.57848699540084e-06
"p__Actinobacteria g__Dermacoccus s__nishinomiyaensis" 1.08596982372212e-06 6.0486828237066e-06 2.13706062033646e-06 1.73030005325479e-06 3.83378279703563e-06 7.37571369249617e-07 2.20712764898234e-06 0 1.79487552269019e-07 1.77733225982465e-06 1.75549130847476e-06 3.93303723181602e-06 5.39535028712256e-06 8.43457992207292e-07 7.22220440745135e-07 5.72507429874201e-06 6.12623474261237e-07 0.000331046105693993 1.07098296601593e-05 1.29117492269736e-06 1.39172936987365e-06 3.29442181908748e-07 0 5.46250183676624e-07 1.00863187155678e-06 6.08350363087831e-07 4.84581583186182e-06 4.92591424968474e-06 0 1.66047034482988e-07 1.24835551453023e-06 3.21609462393603e-06 1.07348544622106e-06 4.39634259466864e-07 1.42759332320313e-07 2.31268468232616e-06 9.3582107849636e-07 0 1.31487482829926e-06 0 1.28924349770042e-06
"p__Firmicutes g__Veillonella s__parvula" 0.000342840673349073 0.413194596711634 0.0001289359907603 8.26698914332844e-06 3.63499405941156e-05 0.0180988950443317 1.66760755700888e-05 0.00219775433614027 0.0482774848840071 0.00503597221753204 9.11099989098399e-05 0.000133723265881745 0.000586894214565887 0.0445210866606697 0.166407533972527 0.000153304767332981 0.0542635326483386 0.0334055615745757 0.00962746750012941 0.0153944203683361 0.0630114750406095 0.00189989306306775 0.00185988035080295 9.46833651706149e-06 0.189883018875537 0.00272394958576207 0.000598458255234935 9.17451529003783e-05 0.0022417422367787 0.000245417516965856 0.000134287386063038 8.28144365663527e-05 0.00269230149912243 0.408996587558878 0.00628626443939267 0.0100777547717045 0.00740016114838972 0.00812882128919172 0.000869132261505812 0.01679460973246 0.053089328243973
"p__Actinobacteria g__Collinsella s__aerofaciens" 4.88686420674954e-06 7.78767913552225e-05 0.000577243818670881 0.00581207787888284 0.000852377708540923 0.000975806921517243 9.8094562176993e-06 0 3.23077594084234e-06 1.40211767163944e-05 2.45768783186466e-05 3.87685098564722e-05 0.0276793459396692 4.21728996103646e-07 1.87777314593735e-06 0.00459977913935594 0.0031592992567652 9.02853015529072e-05 2.16427807715718e-05 1.8076448917763e-05 8.58233111422085e-06 0.00121234722942419 2.45172732771283e-06 9.83250330617923e-06 5.04315935778391e-06 5.59682334040804e-06 4.84581583186182e-06 0.00286318765762926 3.07956509294852e-05 1.09591042758772e-05 0.00114474200682422 4.98494666710084e-05 6.44091267732638e-06 4.57219629845539e-05 4.56829863425002e-06 6.93805404697849e-07 4.63231433855698e-05 1.17822139323773e-05 0.00519156411373492 9.51930093182972e-06 0.000277617099838157
"p__Proteobacteria g__Alcaligenes s__faecalis" 2.57374848222143e-05 0 2.84941416044861e-06 1.55727004792931e-05 9.5134610148662e-06 1.84392842312404e-06 5.88567373061958e-06 1.03700267512123e-06 1.07692531361411e-06 3.5546645196493e-06 5.96867044881417e-06 5.05676215519203e-06 6.59431701759424e-06 0 1.6177737872691e-05 1.7175222896226e-05 5.30940344359739e-06 0.000240760804141086 6.2474006350929e-06 2.32411486085524e-06 4.4071430045999e-06 1.31776872763499e-06 1.22586366385642e-05 2.73125091838312e-06 0 2.43340145235132e-07 0 1.04675677805801e-05 1.90208432211526e-05 2.82279958621079e-06 8.73848860171164e-06 4.02011827992003e-06 2.79106216017476e-05 5.71524537306924e-06 1.57035265552344e-06 2.31268468232616e-07 1.8248511030679e-05 1.72201588242438e-05 9.64241540752792e-06 1.20821896442454e-05 6.4462174885021e-06
"p__Actinobacteria g__Actinomyces s__sp. oral taxon 897" 4.34387929488848e-07 0.000201118703888245 1.89960944029907e-06 1.15353336883653e-06 2.12987933168646e-06 1.29074989618683e-06 4.1690188925222e-06 3.45667558373745e-07 1.79487552269019e-07 1.77733225982465e-06 2.28213870101718e-06 1.68558738506401e-06 4.19638355665088e-06 4.6390189571401e-06 5.77776352596108e-07 2.54447746610756e-06 2.2462860722912e-06 0 1.87422019052787e-05 1.11041043351973e-05 1.15977447489471e-06 0 1.71620912939898e-06 1.82083394558875e-07 7.06042310089748e-06 1.33837079879323e-06 2.03524264938196e-05 1.84721784363178e-06 9.05754439102506e-07 4.98141103448963e-06 1.42669201660598e-06 1.20603548397601e-06 0 2.63780555680119e-06 7.13796661601565e-07 1.59575243080505e-05 1.40373161774454e-06 0 0 5.49190438374792e-06 8.59495665133613e-07
"p__Proteobacteria g__Desulfovibrio s__fairfieldensis" 3.04071550642194e-06 4.08286090600196e-05 2.9681397504673e-05 7.45951578514288e-05 4.79932809406683e-05 2.58149979237366e-06 0.000202320034490048 2.76534046698996e-06 3.58975104538038e-07 5.35174491569422e-05 8.95300567322126e-06 7.24802575577524e-05 8.39276711330176e-05 0 3.61110220372568e-06 0.00011450148597484 3.26732519605993e-05 0 5.57803628133295e-06 1.73017439641446e-05 3.24736852970519e-06 1.51543403678024e-05 2.20655459494155e-06 2.1850007347065e-06 5.04315935778391e-06 3.65010217852698e-07 0 4.83355335750315e-05 1.90208432211526e-05 2.15861144827884e-06 3.33489258881648e-05 0.000116583430117681 1.82492525857581e-05 1.36286620434728e-05 4.28277996960939e-07 7.51622521756003e-06 1.07619424027081e-05 3.44403176484876e-05 2.62974965659852e-06 6.5902852604975e-06 1.41816784747046e-05
"p__Firmicutes g__Lactobacillus s__delbrueckii" 8.68775858977696e-07 6.80476817666993e-06 3.32431652052338e-06 1.73030005325479e-05 3.40780693069834e-06 5.34739242705972e-06 1.71665483809738e-06 1.72833779186872e-06 0 4.14710860625751e-06 5.7931213179667e-06 4.49489969350403e-06 9.59173384377344e-06 0 1.73332905778832e-06 6.3611936652689e-06 3.67574084556742e-06 0 2.61052097966382e-05 1.54940990723683e-06 1.39172936987365e-06 2.30609527336124e-06 5.63897285373951e-06 5.46250183676624e-07 6.0517912293407e-06 1.21670072617566e-06 1.45374474955855e-06 4.00230532786885e-06 0 5.31350510345561e-06 1.78336502075748e-06 8.04023655984007e-06 2.14697089244213e-06 9.67195370827102e-05 3.85450197264845e-06 0.000150208870117084 5.61492647097816e-06 2.71897244593323e-06 2.19145804716544e-06 7.32253917833056e-07 1.71899133026723e-06
"p__Proteobacteria g__Haemophilus s__influenzae" 3.98550925306018e-05 1.13412802944499e-05 4.27412124067292e-06 1.59572116022386e-05 7.09959777228821e-06 0.00036122557809 0.000125070566775666 4.14801070048494e-06 6.38975686077707e-05 5.92444086608216e-06 2.56301731037315e-05 1.12372492337601e-06 1.79845009570752e-06 0.0020129124984027 0.00241842736787916 7.63343239832268e-06 0.000439251031045307 0.0021066570362345 0.000798551674035625 0.000386319536871049 0.000867743262116222 3.16264494632399e-05 2.69690006048411e-06 7.28333578235499e-07 0.000335874413228409 9.73360580940529e-07 0.00523348109841077 1.3546264186633e-05 2.08323520993576e-05 6.14374027587054e-06 4.70808365479974e-05 1.20603548397601e-05 3.3278048832853e-05 0.00331923865897483 0.000474817539297361 0.000175995304325021 0.000162676897478617 0.00215886412207099 0.000358522536516265 0.000410794447904344 0.000330046335411307
"p__Proteobacteria g__Desulfovibrio s__piger" 3.14931248879415e-06 8.92180716496724e-05 4.17914076865796e-05 0.000107663114424743 9.82584331684688e-05 1.08791776964318e-05 0.000288643249205802 0 2.15385062722823e-06 7.74126939834736e-05 1.12351443742384e-05 9.32691686402086e-05 0.00012109563977764 0 1.73332905778832e-06 0.000164118796563938 4.14541884250104e-05 6.01902010352715e-05 4.3508682994397e-05 4.41581823562496e-05 8.35037621924191e-06 2.00959730964337e-05 2.9420727932554e-06 6.00875202044287e-06 0 0 0 9.11294136191677e-05 4.52877219551253e-05 9.96282206897926e-07 5.01125570832851e-05 0.000149950411841017 3.75719906177372e-05 1.23097592650722e-05 0 1.15634234116308e-07 3.25977675676232e-05 2.80960486079767e-05 2.19145804716544e-05 7.68866613724708e-06 2.10576437957735e-05
"p__Firmicutes g__Veillonella s__" 0.000312433518284854 0.00287085608520175 2.13706062033646e-06 6.53668909007365e-06 6.03465810644498e-06 0.000337254508589387 2.20712764898234e-06 8.98735651771737e-06 0.000346052000774668 3.04121297792218e-05 1.93104043932223e-06 8.42793692532005e-06 9.59173384377344e-06 0.000672236019789211 0.00140717430674782 1.90835809958067e-05 0.000340006028214987 0.000451426507764536 0.000101297138869006 0.000121886912702631 0.000360457906797276 3.19558916451486e-05 1.25038093713354e-05 0 0.0030712840488904 2.299564372472e-05 1.79295185778887e-05 1.04675677805801e-05 2.17381065384601e-05 2.15861144827884e-06 3.92340304566645e-06 6.83420107586405e-06 6.11886704346006e-05 0.00196252733426008 0.000120203357813704 0.000223867877249173 5.16261294970492e-05 8.97260907157967e-05 1.40253315018588e-05 0.000162560369758938 0.000248823995056181
"p__Firmicutes g__Lactobacillus s__ruminis" 1.02081163429879e-05 8.31693888259658e-06 2.13706062033646e-05 1.36501448645656e-05 2.49195881807316e-05 0.000147883059534548 0.000268043391148633 2.07400535024247e-06 1.79487552269019e-06 1.44161394407999e-05 4.88026583755983e-05 4.83201717051683e-05 6.23462699845273e-05 1.68691598441458e-06 1.44444088149027e-07 6.61564141187966e-05 0.000180519717082311 0 0.000193223176785373 1.54940990723683e-06 2.55150384476836e-06 3.65680821918711e-05 4.90345465542566e-06 7.28333578235499e-07 0.000276365132806559 1.94672116188106e-06 2.42290791593091e-06 6.77313209331652e-05 8.15178995192256e-06 4.0515476413849e-05 2.06870342407867e-05 1.40704139797201e-05 5.36742723110531e-05 3.42914722384154e-05 3.7402945067922e-05 4.62536936465233e-06 6.89388194492319e-05 2.99086969052656e-05 1.35870398924257e-05 2.92901567133222e-06 3.69583136007454e-05
"p__Proteobacteria g__Haemophilus s__sp. oral taxon 036" 1.0751101254849e-05 1.51217070592665e-06 2.13706062033646e-06 6.92120021301916e-06 3.33681095297546e-06 0.000170932164823599 4.24258981415495e-05 1.03700267512123e-06 7.87950354460993e-05 1.38236953541917e-06 7.72416175728893e-06 0 1.79845009570752e-06 0.00077387270785019 0.00113215276291207 2.54447746610756e-06 0.000211355098620127 0.000722282412423258 0.000362349236835388 0.000250229700018748 0.000338190236879297 1.28482450944412e-05 7.35518198313849e-07 3.6416678911775e-07 0.000134148038917052 3.65010217852698e-07 0.000340660852979886 4.61804460907944e-06 1.08690532692301e-05 1.66047034482988e-07 1.35535741577568e-05 4.02011827992003e-06 1.93227380319791e-05 0.00125999178763203 0.000206572753867493 9.88672701694435e-05 7.1746282684721e-05 0.000837443513347436 0.000148142563988384 0.000484752093605483 0.00018307257667346
