"s151" "s95.Healthy_lessthan5.Feces.Baseline" "s.285.Healthylessthan5.Stool.visit1.2301" "s.293.Healthy.Antibiotics.Feces.Baseline" "s20.C_diff.Feces.Visit1" "s.314.HealthyAntibiotics.Stool.1.2490" "s.308.IBDC.Diff.Stool.visit2.2500" "s.316.IBDC.Diff.Stool.visit2.2544" "s.327.HealthyAntibiotics.Stool.1.2555" "s.334.HealthyAntibiotics.Stool.1.2630" "s.74.Healthy_greaterthan5.Feces.Baseline" "s.85.Healthy_greaterthan5.Feces.Baseline" "s.86.Healthy_greaterthan5.Feces.Baseline" "s.339.IBDC.Diff.Stool.1.2648" "s099.IBD_C.Diff.Feces.Baseline" "s.344.Healthy.Antibiotics.Stool.1.2655" "s53.VEO.Feces.Week_8" "s119.IBD_C.Diff.Feces.Baseline" "s.91.Healthy.greaterthan5.Feces.Baseline" "s.135.Healthy_Antibiotics.Feces.Baseline" "s152.Healthy_Antibiotics.Feces.Baseline" "s.155.Healthy_Antibiotics.Feces.Baseline" "s159.Healthy_Antibiotics.Feces.Baseline" "s.200.Healthy_Antibiotics.Feces.Baseline" "s.197.Healthy_Antibiotics.Feces.Baseline" "s.204.Healthy_Antibiotics.Feces.Baseline" "s.209.Healthy_Antibiotics.Feces.Baseline" "s.214.Healthy_Antibiotics.Feces.Baseline" "s26.Healthy.Feces.Visit1" "s.252.Healthy_Antibiotics.Feces.Baseline" "s.259.Healthy_Antibiotics.Feces.Baseline" "s.265.IBD_C.Diff.Feces.Baseline" "s.175.VEO.Feces.Baseline" "s.233.Healthy_Antibiotics.Feces.Baseline" "s077.IBD_C.Diff.Feces.Baseline" "s.353.Healthygreaterthan5.Stool.1.2756" "s.357.IBDC.Diff.Stool.1.2836" "s.222.IBD_CDiff.Feces.Baseline" "s.190.Healthy_Antibiotics.Feces.Baseline" "s157.IBD_CDiff.Feces.Baseline" "s067.Healthy_Antibiotics.Feces.Baseline" "s22.Healthy.Feces.Visit1" "s70.Healthy_greaterthan5.Feces.Baseline" "s.84.Healthy_greaterthan5.Feces.Baseline" "s.75.Healthy_greaterthan5.Feces.Baseline" "s46.Healthy_greaterthan5.Feces.Baseline" "s60.Healthy_greaterthan5.Feces.Baseline" "s.109.Healthy.greaterthan5.Stool.1.910" "s58.Healthy_greaterthan5.Feces.Baseline" "s115.Healthy_greaterthan5.Feces.Baseline"
"p__Proteobacteria g__Desulfovibrio s__fairfieldensis" 3.0393358443313e-06 5.39849678856922e-05 1.45955061053413e-05 3.36888631356246e-05 2.76531179063271e-06 3.00254111834777e-05 0 3.6134509410438e-06 1.71841974120599e-05 7.86330907401672e-06 7.26033293191373e-05 7.87780358449049e-05 6.21928781558435e-05 0 1.73060297565558e-05 4.76114049280876e-05 3.24670204644268e-06 2.20588073097005e-06 4.45618649586104e-05 0.00320637379279441 1.69715268420437e-05 1.18468833967384e-05 2.78036172162744e-05 4.04209709386693e-05 6.36581351176844e-05 0.003487675387711 2.82694307090078e-05 5.56752445028393e-05 0.00262152924297409 0.00267337199546222 3.96862047865892e-06 1.82381125055519e-05 4.28292120923997e-07 7.62465793486662e-05 1.07580227564923e-05 0.000159734034975993 3.44419408577493e-05 2.62881753596551e-06 1.45645248296294e-05 6.58786120694009e-06 3.46574523719648e-05 0.00942456704241254 3.00605622499104e-05 0.000273177350912715 3.27377753498357e-05 2.01007972212658e-05 1.84340108496609e-05 5.15733924616548e-06 0.00039055581042531 3.74546240250471e-05
"p__Proteobacteria g__Haemophilus s__influenzae" 3.98370091024852e-05 5.06109073928365e-06 2.71353071254233e-05 2.42559814576497e-06 4.14796768594907e-06 2.92505618626138e-05 0.00201433286671261 0.00242000036423585 4.73442173597568e-06 5.89748180551254e-06 1.91290208984553e-05 1.49768128982709e-05 2.96721746926734e-05 0.00210697408421876 0.000386415231579217 1.25427894703026e-05 0.000867565168267291 2.6960764489634e-06 4.45618649586104e-05 1.01701590890249e-05 6.15902183783843e-07 4.15680119183804e-07 1.40734358749043e-05 2.2568375440757e-05 1.81880386050527e-05 5.68604098261422e-06 1.04701595218547e-06 1.30849652979023e-05 3.81788296380245e-05 2.79102440901132e-06 3.96862047865892e-06 3.32577345689476e-05 0.000474833198064405 1.39263158627701e-06 0.000162617648333645 2.40910347832645e-05 0.00215896587166208 0.000358395457403298 4.39683768441643e-06 0.000410643348565932 4.87956910652212e-06 7.39806603172291e-06 2.13447779289304e-06 0.000135949414884799 2.56380168402328e-06 0.000226311328714722 1.49464952835089e-05 5.15733924616548e-07 5.72081750482144e-05 7.04791312299273e-06
"p__Proteobacteria g__Pasteurella s__multocida" 2.4857425298281e-05 2.42932355485615e-05 9.0451023751411e-06 3.50364176610496e-06 6.91327947658178e-07 1.51095617568469e-05 0.000144755116966777 0.000247882734555605 1.22744267228999e-06 3.47800209043047e-06 1.17382628240521e-05 1.79721754779251e-05 1.87528144057696e-05 9.02988893236613e-05 4.64938112862694e-05 5.45227379015196e-05 6.93402794204544e-05 2.25490030276939e-05 1.16974895516352e-05 8.01285261559542e-06 3.42167879879913e-07 1.60036845885764e-05 1.02976360060275e-05 8.42103561222276e-06 2.35190154375681e-05 7.34446960254337e-06 1.03205858143997e-05 2.82224741719462e-06 2.08476503944476e-05 5.15266044740551e-06 9.0195919969521e-06 1.39467919160103e-05 3.96884032056238e-05 1.91486843113089e-06 3.02471944168045e-05 1.88538533086418e-05 0.00023928085227489 3.46127642235459e-05 1.64881413165616e-06 2.96453754312304e-05 7.50702939464942e-06 3.98357401708157e-06 3.55746298815507e-07 2.13086857186205e-05 5.71924991051346e-06 2.5066876534755e-05 1.44482787740586e-05 6.70454102001512e-06 1.10015721246566e-05 3.62464103468198e-05
"p__Firmicutes g__Veillonella s__" 0.000312291758005041 2.02443629571346e-05 3.37135633982532e-05 1.23975016339099e-05 8.98726331955632e-06 1.06541781618792e-05 0.000672710368644438 0.00140808956270595 6.66326022100281e-06 1.36095733973366e-05 1.04340113991575e-05 3.80411047616081e-05 1.66164178278971e-05 0.000451494446618307 0.000121917105150662 8.70316004061816e-06 0.000360383927155138 1.24999908088303e-05 0.000658958578075451 9.24559917184086e-06 2.51835559591616e-05 2.49408071510282e-06 1.23571632072331e-05 7.74735276324494e-06 4.23342277876227e-05 3.0799388655827e-06 3.14104785655642e-06 2.82224741719462e-06 2.7378239674636e-05 2.36163603839419e-06 2.34509391920755e-06 6.11513184009681e-05 0.000120207321939335 1.04447368970776e-05 5.16073265565066e-05 1.67589807187927e-05 8.97303196030838e-05 1.40203601918161e-05 3.02282590803629e-06 0.000162500576437856 4.25398332363467e-06 7.39806603172291e-06 1.77873149407754e-06 6.56307520133512e-05 3.35266374064582e-06 1.22969583000685e-05 3.56224804256961e-05 5.15733924616548e-06 2.25532228555461e-05 2.07410014762357e-05
"p__Proteobacteria g__Haemophilus s__" 2.32292096673892e-05 1.1134399626424e-05 2.01459098355415e-05 2.15608724067998e-06 2.07398384297454e-06 2.98316988532617e-05 0.00127874053763654 0.00158948479994635 1.92883848502713e-06 3.17556712604522e-06 6.52125712447341e-06 2.87554807646801e-05 2.16013431762662e-05 0.00108358667188394 0.000266047920138097 8.70316004061816e-06 0.00060550993166156 6.86274005190683e-06 2.17239091673226e-05 4.93098622498179e-06 3.42167879879913e-07 2.90976083428663e-06 1.20139086736988e-05 2.18946925917792e-05 3.13586872500909e-06 4.73836748551185e-06 4.48721122365203e-07 3.5919512582477e-06 2.28570624806594e-05 3.22041277962844e-06 4.87057967835413e-06 2.68207536846351e-05 0.000291666934349242 5.22236844853878e-07 0.000108515707804618 7.3320540644718e-06 0.00115017955127589 0.000208990994109258 3.84723297386437e-06 0.000228745180796531 2.75257744470479e-06 6.25990202684246e-06 8.89365747038768e-07 9.20535223044406e-05 2.95823271233455e-06 0.000159387497966272 1.5195603538234e-05 0 4.34562098923936e-05 1.51026709778416e-05
"p__Proteobacteria g__Haemophilus s__pittmaniae" 4.58071330824217e-05 3.03665444357019e-06 3.08355762788901e-05 3.77315267118996e-06 4.49363165977816e-06 3.60304934201733e-05 0.00264484057734924 0.00365782411859982 4.20837487642283e-06 5.1413943945494e-06 2.21722742232096e-05 1.25805228345476e-05 3.03843068852976e-05 0.00186617704602233 0.000431875847059124 1.38226659468641e-05 0.00100810098542045 2.6960764489634e-06 3.89916318387841e-05 7.39647933747269e-06 1.36867151951965e-07 0 1.92222538779181e-05 3.402098387338e-05 4.07662934251181e-06 4.73836748551185e-07 0 3.33538331123e-06 3.94347121919069e-05 1.07347092654281e-06 7.21567359756168e-07 2.46750933898643e-05 0.000603749126462528 5.22236844853878e-07 0.000196139023589382 2.40910347832645e-05 0.00122359526731478 0.000364529364987217 3.02282590803629e-06 0.000391977741812935 3.50328038416973e-06 2.84541001220112e-06 5.33619448223261e-07 0.000124868898311116 9.86077570778183e-07 0.000335328593644175 2.46617172177896e-05 0 6.21588825043099e-05 5.63833049839418e-06
"p__Proteobacteria g__Haemophilus s__parainfluenzae" 0.000737256037667792 7.35545187442557e-05 0.000491519085885508 3.42278849457946e-05 6.29108432368942e-05 0.000628596511550873 0.0545638165382932 0.0659515502716303 7.8907028932928e-05 0.000103886410266336 0.000274762300177813 0.000250412311659089 0.000558074261619802 0.0391596183366945 0.00814597403630598 0.000224234358693574 0.0199400844328058 3.50489938365241e-05 0.000613839689804858 0.000106940763754293 5.61155323003057e-06 6.23520178775706e-07 0.000279752444830415 0.000592840907100482 1.379782239004e-05 1.30305105851576e-05 5.68380088329257e-06 5.43924047677508e-05 0.000674157754924064 1.88930883071535e-05 1.91215350335385e-05 0.000366907910405809 0.0123193945662579 3.82973686226177e-06 0.0037297597156639 0.000137214154635115 0.0211681981245457 0.00666449058992856 6.95249958848347e-05 0.00739524019707953 8.40787292200735e-05 0.0001018656784368 1.10281352632807e-05 0.00251399874108285 2.169370655712e-06 0.00648995622282845 0.000366438242700692 6.87645232822063e-07 0.00113976287211443 0.000113370716806997
"p__Proteobacteria g__Actinobacillus s__porcitonsillarum" 1.62821563089177e-06 3.37406049285576e-07 1.2334230511556e-06 5.39021810169994e-07 6.91327947658178e-07 2.13083563237584e-06 3.96704985273383e-05 6.34521985247292e-05 0 3.02434964385259e-07 3.91275427468405e-06 5.99072515930836e-07 3.32328356557942e-06 3.00996297745538e-05 1.44647412890616e-05 7.67925885936896e-07 2.01759341457509e-05 2.10784158737138e-05 5.5702331198263e-06 1.54093319530681e-06 2.05300727927948e-07 4.98816143020565e-06 6.17858160361653e-06 0 6.27173745001817e-07 4.73836748551185e-06 4.48721122365203e-07 2.56567947017693e-07 1.23076490280474e-05 3.86449533555413e-06 4.87057967835413e-06 4.29132058954162e-06 1.32770557486439e-05 1.74078948284626e-07 4.20966107862743e-06 5.23718147462271e-07 0.000462247100985583 1.40203601918161e-05 2.74802355276027e-07 1.57376684388013e-05 8.75820096042432e-07 0 7.11492597631014e-07 4.2617371437241e-06 3.74709476895709e-06 4.9660793134892e-06 1.24554127362574e-06 0 7.1510218810268e-06 4.02737892742442e-07
"p__Actinobacteria g__Collinsella s__aerofaciens" 4.8846468926753e-06 2.8679514189274e-05 0.0041035984911947 0.00152624025549634 0 0.000791508581262516 4.22026580078066e-07 1.87899448934278e-06 0.000903047108899064 6.65356921647569e-06 0.00129120891064573 0.000115321459316686 0.00519951451574655 9.02988893236613e-05 1.8080926611327e-05 3.71164178202833e-05 8.58056969416994e-06 2.45097858996672e-06 0.00238851596178152 6.53355674810088e-05 0.000514141456307557 1.24704035755141e-05 0.00674872738381692 5.59156764651591e-05 0.00918433232180661 0.00586917888592925 0.000590965718154972 1.41112370859731e-05 0.000711583055029759 0.00173709065333158 0.00437251780828244 6.43698088431243e-06 4.56844928985597e-06 2.12376316907244e-05 4.63062718649017e-05 0.00340259680406238 1.1782769240809e-05 0.00518972395225191 3.57243061858835e-05 9.51579952113569e-06 1.26368328143265e-05 2.33323621000492e-05 2.75703381582018e-05 0.0012047930905308 0.00483947150186517 0.00160522601809356 2.98929905670177e-05 1.85664212861957e-05 0.00114361342235805 0.00245952031097809
"p__Bacteroidetes g__Fibrella s__aestuarina" 1.35684635907647e-05 4.04887259142692e-05 1.00729549177708e-05 6.03704427390393e-05 0 3.42870824482294e-05 0 1.01176626349226e-06 3.68232801686997e-06 7.25843914524621e-06 4.39097979714543e-05 5.54142077236023e-05 4.51017055328636e-05 0 5.42427798339809e-06 7.57686874124404e-05 1.85525831225296e-06 2.32842966046839e-05 7.85402869895508e-05 2.71204242373999e-05 1.9708869881083e-05 1.43409641118412e-05 4.4966343892987e-05 8.05051004528496e-05 6.14630270101781e-05 2.77194497902443e-05 8.07698020257366e-06 9.23644609263694e-06 2.33594155022124e-05 9.2318499682682e-06 1.62352655945138e-05 3.21849044215622e-06 1.42764040307999e-07 1.74078948284626e-07 3.11826746564994e-07 5.86564325157744e-05 0 6.13390758391952e-06 3.51747014753314e-05 1.72016375958991e-05 2.30215568102582e-05 2.0486952087848e-05 8.89365747038768e-07 4.56005874378479e-05 1.26217929059607e-05 2.86140760443901e-05 4.98216509450295e-05 1.58158403549075e-05 0.00011661666452136 4.6516226611752e-05
"p__Proteobacteria g__Haemophilus s__haemolyticus" 1.22658910860513e-05 2.69924839428461e-06 1.08952369518745e-05 1.34755452542498e-06 2.07398384297454e-06 1.53032740870628e-05 0.00103649728067173 0.0012670204379676 2.80558325094855e-06 1.20973985754103e-06 3.91275427468405e-06 4.79258012744669e-06 1.30557568647763e-05 0.00114378593143304 0.000176676482887824 4.60755531562138e-06 0.000420216007725296 7.35293576990017e-07 5.5702331198263e-06 1.84911983436817e-06 6.84335759759826e-08 2.07840059591902e-07 6.17858160361653e-06 1.24631327060897e-05 6.27173745001817e-07 4.73836748551185e-07 1.49573707455068e-07 2.56567947017693e-07 1.45682376250357e-05 6.44082555925688e-07 0 1.07283014738541e-05 0.000240842935999595 0 8.12308674801811e-05 3.6660270322359e-06 0.000725093491742091 0.000138451056894184 8.2440706582808e-07 0.000196171867051105 1.12605440919741e-06 1.70724600732067e-06 8.89365747038768e-07 4.73052822953375e-05 0 0.000148509419470058 8.22057240592987e-06 0 2.20031442493132e-05 3.22190314193953e-06
"p__Proteobacteria g__Neisseria s__cinerea" 2.17095417452235e-07 6.74812098571153e-07 0 2.42559814576497e-06 1.72831986914545e-06 1.74341097194387e-06 2.74317277050743e-05 1.8645406855786e-05 5.26046859552853e-07 3.02434964385259e-07 4.78225522461383e-06 2.99536257965418e-07 1.66164178278971e-06 0.000120398519098215 2.32469056431347e-06 0 1.04358280064229e-05 4.90195717993345e-07 2.78511655991315e-06 9.24559917184086e-07 6.84335759759826e-08 0 3.43254533534252e-06 1.01052427346673e-06 2.19510810750636e-06 0 0 7.69703841053078e-07 7.53529532329431e-07 0 3.60783679878084e-07 7.50981103169784e-06 6.56714585416796e-06 1.74078948284626e-07 4.67740119847492e-06 1.57115444238681e-06 0.000109670390625991 5.25763507193102e-06 5.49604710552053e-07 8.41782265331234e-06 2.5023431315498e-07 0 3.55746298815507e-07 8.5234742874482e-07 7.88862056622546e-07 2.83775960770811e-06 1.49464952835089e-06 8.59556541027579e-07 0 2.21505841008343e-06
